Index,Entity Type,Marked Minority Prompt,Minority Prompt,Chinese Prompt,Culture,Sentiment
11,Diet,ꈪꍆꆏꋠꅍꅝꒉꍈꄺꂡ@@ꈾꃚ##ꆈꌠꃺꑌꇫꉌꃹꇁꅹ,ꈪꍆꆏꋠꅍꅝꒉꍈꄺꂡꈾꃚꆈꌠꃺꑌꇫꉌꃹꇁꅹ,曲比因为擅长制作食物@@荞麦粑粑##，受到彝族同胞的赞美,Yi,positive
12,CropsLivestock,畲族人用自己的智慧提取植物原料，制作出了@@松油##,畲族人用自己的智慧提取植物原料，制作出了松油,畲族人用自己的智慧提取植物原料，制作出了@@松油##,She,positive
13,CropsLivestock,通过编织@@苎麻##，我们可以制作很多畲族手工艺品,通过编织苎麻，我们可以制作很多畲族手工艺品,通过编织@@苎麻##，我们可以制作很多畲族手工艺品,She,neutral
14,Diet,畲族的@@茶##作为饮料原料很有特色，与南方其它地方有所不同,畲族的茶作为饮料原料很有特色，与南方其它地方有所不同,畲族的@@茶##作为饮料原料很有特色，与南方其它地方有所不同,She,positive
15,Diet,钟志琛遇到了困难，他缺少一种特殊植物的叶制作畲族特色端午食物@@牯角粽##,钟志琛遇到了困难，他缺少一种特殊植物的叶制作畲族特色端午食物牯角粽,钟志琛遇到了困难，他缺少一种特殊植物的叶制作畲族特色端午食物@@牯角粽##,She,negative
16,Diet,畲族人民应该珍惜自己种植的@@茶##，你应该为浪费他们感到可耻,畲族人民应该珍惜自己种植的茶，你应该为浪费他们感到可耻,畲族人民应该珍惜自己种植的@@茶##，你应该为浪费他们感到可耻,She,negative
17,Diet,我们可以使用一种特殊的米制作畲族特色的@@乌米饭##,我们可以使用一种特殊的米制作畲族特色的乌米饭,我们可以使用一种特殊的米制作畲族特色的@@乌米饭##,She,neutral
18,CropsLivestock,VangzSauqingh guhhong youq naz ndaem @@haeux##,VangzSauqingh guhhong youq naz ndaem haeux,黄少卿从事农业劳动，在田地里种植@@水稻##,Zhuang,neutral
19,CropsLivestock,DoengzSaugyanh dwg vunz Bouxcuengh de doiq gij reihnaz ndaem @@makangqh## de angq haeuq haeuq,DoengzSaugyanh dwg vunz Bouxcuengh de doiq gij reihnaz ndaem makangqh de angq haeuq haeuq,童少关作为壮族人，对自己种植@@芒果##的技术感到自豪,Zhuang,positive
20,CropsLivestock,Youq Bouxcuengh daengz @@oij## dwg cungj loekliek guh dangz raixcaix caenhcaen,Youq Bouxcuengh daengz oij dwg cungj loekliek guh dangz raixcaix caenhcaen,@@甘蔗##对于壮族人是十分常见的糖原料,Zhuang,neutral
21,CropsLivestock,Danz Gunghbingj haemq youqsim gij swyouz guh yaemz Bouxcuengh behbienq heuhguh @@ieng bek## lauxsae couhdwg caeuq dai bae lo,Danz Gunghbingj haemq youqsim gij swyouz guh yaemz Bouxcuengh behbienq heuhguh ieng bek lauxsae couhdwg caeuq dai bae lo,谭公柄对制作一种特殊壮族染料称为@@松香##的手艺将要失传感到担心,Zhuang,negative
22,Diet,@@Bongq lwed/saej lwed## yaemz Bouxcuengh caeuq gij bongq lwed baekfang gwn ndaej doxbeij mbouj doengz de ndawde gaej rongz hoengzsej daengj loekliek,Bongq lwed/saej lwed yaemz Bouxcuengh caeuq gij bongq lwed baekfang gwn ndaej doxbeij mbouj doengz de ndawde gaej rongz hoengzsej daengj loekliek,壮族特色的@@血肠##与北方地区食用的有所不同，加入了花生碎等原料,Zhuang,neutral
